test_name,module,expected,received_status,result,notes,timestamp
Initial git status,Git,Working tree clean at start,Clean,PASS,Started on feature/live-z2-active-product-state,2026-05-28T19:35:27-06:00
Branch check,Git,feature/live-z2-active-product-state,feature/live-z2-active-product-state,PASS,Branch matched expected phase branch,2026-05-28T19:35:27-06:00
TypeScript,Frontend,tsc success,0 errors,PASS,npx.cmd tsc --noEmit completed,2026-05-28T19:33:00-06:00
Frontend lint,Frontend,0 errors,0 errors 60 warnings,PASS,Warnings are preexisting repository warnings,2026-05-28T19:35:00-06:00
Backend tests,Backend,Tests pass,71 tests 0 failures 0 errors 0 skipped,PASS,Includes LiveServiceTests for active product state and branch guard,2026-05-28T19:41:08-06:00
Expo web export,Frontend,Export success,Exported C:/tmp/control-ropa-web-export,PASS,/live route exported,2026-05-28T19:36:00-06:00
Backend package,Backend,Package success,Success with -DskipTests,PASS,No payment/report/business logic changed,2026-05-28T19:36:00-06:00
AUTH-Z regression,Security,FAIL=0,PASS=6 FAIL=0 SKIP=0,PASS,Master AUTH smoke completed against API_BASE_URL http://192.168.0.128:8090,2026-05-28T19:37:18-06:00
AUTH manual qa.admin login,Security,Login OK and token obtained,Login OK token obtained,PASS,Backend available and qa.admin@local.test authenticated,2026-05-28T19:38:00-06:00
AUTH manual qa.admin audit summary,Security,HTTP 200 or 403 per real permissions,HTTP 403,PASS,403 is expected because VIEW_SECURITY_AUDIT is not assigned to qa.admin by AUTH-I2,2026-05-28T19:38:00-06:00
Smoke visual,Runtime,Manual browser smoke,Not executed,SKIP,Requires user runtime QA after review,2026-05-28T19:35:27-06:00
